source	syllabary	pronunciation	definition
ced	ᎠᎰᎵ	ạ²ho⁴li	his mouth
ced	ᎠᎱᏗᎠ	a¹hu²dị³ɂa	he's putting a long object in liquid
ced	ᎠᎱᏣᏬᎳᏛᏗ	ạ²hu¹jạ²wo²³lạ³dv⁴di	stove pipe, lamp chimney
ced	ᎠᎱᏣᏬᎳᏛᎢ	a¹hu³jạ²wo²³lạ³dv⁴i	chimney
ced	ᎠᎱᎵ	ạ²hu²li	drum
ced	ᎠᎱᎸᏂᎭ	a¹hu²lv³nị²ha	he's hitting him on the mouth
ced	ᎠᎲᎠ	a¹hv³ɂa	he's moving it from one place to another
ced	ᎠᎲᏍᎦ	a¹hṿ³sga	he's setting it down
ced	ᎠᏩᏘᎭ	a¹hwah²tị³ha	he's finding him, it
ced	ᎠᏩᏛᎯᏙᎭ	a¹hwah²tv²hi²³do³²ha	he's visiting him
ced	ᎠᏫᏗᎭ	a¹hwi²di³ha	he's taking it somewhere
ced	ᎠᏫᏍᎦ	a¹hwị²sga	he's planting it
ced	ᎠᏯᏢᏗ	a²hyạ²dlv⁴di	necktie
ced	ᎠᏯᎨᏗᏍᎦ	a¹hyah²ke²³tsga	he's peeling it
ced	ᎠᏯᏟᏗ	a³hyahl²di	necklace
ced	ᎠᏯᏛᎲᏍᎦ	a¹hyah²tv²³hṿ³sga	it's (the ground) becoming frosty
ced	ᎠᏯᏂᎭ	a¹hyạ²nị³ha	1. he's calling him, inviting him. 2. he's receiving, getting him
ced	ᎠᏰᎦ	a¹hye³ga	he's taking it somewhere by hand
ced	ᎠᏰᎭ	a¹hyẹ²ha	he's holding it in his hand
ced	ᎠᏰᎦᏢᏍᎦ	a¹hyeh²gạ²hlv³sga	he's quilting it
ced	ᎠᏰᏠᎭ	a¹hye²³hlọ³ha	1. he's making an incision 2. he's operating on him
ced	ᎠᏰᎵᎠ	a¹hye²li³ɂa	1. he's imitating him, it 2. he's mocking him
ced	ᎠᏰᎵᏍᏗ, ᎭᏰᎵᏍᏗ	ạ²hyel²sdi, hạ²yel²sdi	knife
ced	ᎠᏲᎭ	a¹hyọ³ha	he's looking for him
ced	ᎠᏳᎢᏁᎦ	a¹hyụ³ɂi²ne³ga	he's swimming (propelling himself through water)
ced	ᎠᏴᏓᏆᎶᎠ	a¹hyv²dạ²gwạ²lọ³ɂa	it's thundering
ced	ᎠᏴᏓᏆᎶᏍᎩ	ạ²hyv²dạ²gwạ²lo¹sgi	thunder
ced	ᎠᏴᏜᏗᏍᏗᏍᎩ	ạ²hyv²dlạ²di¹sdi⁴sgi	1. refrigerator 2. air conditioner
ced	ᎠᏴᏠ	ạ²hyvh²dlo	ladder
ced	ᎠᏴᏈᏛᏍᎦ	a¹hyvh²gwị³dv³²sga	1. he's bending it  2. she's hemming it
ced	ᎠᏴᏤᏂ	ạ²hyvh²je⁴ni	his neck, throat
ced	ᎠᏴᏖᎠ	a¹hyvh²te³ɂa	he's kicking him, it
ced	ᎠᏴᎩ	ạ²hyv⁴ki	prisoner, captive
ced	ᎠᏴᎩᏗᎠ	a¹hyv²³ki³dị²ɂa	he's capturing him
ced	ᎠᏴᏍᏕᎷᎲᏍᎦ	a¹hyv²³sde³lu²hṿ²sga	he's hitting him on the nose
ced	ᎠᏴᏍᎩᏱᎭ	a¹hyṿ²sgi²³yi³ha	he's choking him
ced	ᎠᎢ	a³ɂi	he's walking
ced	ᎠᏣᏗ	ạ²jạɂ²di	fish
ced	ᎠᏣᏓ	Ạ²jah²da	Choctaw
ced	ᎠᏣᎢᎠ	a¹jạ³ɂị²ɂa	it's hatching
ced	ᎠᏣᏅᏍᎦ	a¹jạ²nv²sga	he's dressing up
ced	ᎠᏣᎥᏍᎦ	a¹jạ³ɂṿ²sga	He is getting in a car, box, etc.
ced	ᎠᏤᎵᏍᏛᎢ	a¹je²³li³²sdv⁴ɂi	grave
ced	ᎠᏤᎸᏍᎦ	a¹je²lv²sga	he's acting like him
ced	ᎠᏤᏍᏙ	ạ²je²sdo	mattress
ced	ᎠᏤᏫᎠ	a¹je²³wị³ɂa	1. he's spilling it (a liquid or nonliquid like salt, sugar) 2. he's pouring it on the ground (liquid or non-liquid) 3. he's being wasteful (of money, etc.)
ced	ᎠᏥᎳ	ạ²ji²³la	fire
ced	ᎠᏥᎳ	ạ²ji²³la	watercress
ced	ᎠᏥᎳ ᎨᏠᎯ	Ạ²ji²³la Ge³hlọ²hi	Catholic
