ᎠᎦ	ạ²ga²	a2ga2
ᎠᎪᏩᏔ	ạ²go¹wah²ta²	a2goo1wah2ta2
ᎠᎾᏗᎭ	a¹nạ²dị²ha	aa1na2di2ha
ᎠᏁᎪᎢ	a¹ne³gọ³ɂi	aa1nee3go3-i
ᎠᏂᎩᎠ	a¹ni²gị³ɂa	aa1nii2gi3-a
ᎠᏂᎴᎦ	a¹niɂ³le¹ga	aa1ni-3lee1ga
ᎠᏂᎷᎦ	a¹niɂ²lu¹ga²	aa1ni-2luu1ga2
ᎠᏃᎵᎦ	a¹nohl²ga	aa1nohl2ga
ᎠᏃᎵᎦ	a¹nohl²ga²	aa1nohl2ga2
ᎠᏆᏘᏗ	a¹gwạt²di	aa1gwat2di
ᎠᏆᏚᎳ	a¹gwạ²du²³la²	aa1gwa2duu23la2
ᎠᏉᎵᎦ	a¹gwohl²ga	aa1gwohl2ga
ᎠᏉᎵᎦ	a¹gwohl²ga²	aa1gwohl2ga2
ᎡᎦᏚᎳ	e¹gạ²du²³la	ee1ga2duu23la
ᎡᎦᏚᎳ	e¹gạ²du²³la²	ee1ga2duu23la2
ᎡᎪᎵᎦ	e¹go²li¹ga	ee1goo2lii1ga
ᎡᎪᎵᎦ	e¹go²li¹ga²	ee1goo2lii1ga2
ᎡᎪᎵᎩ	e¹go²li¹gi	ee1goo2lii1gi
ᎡᎾᏚᎳ	e¹nạ²du²³la	ee1na2duu23la
ᎡᎾᏚᎳ	e¹nạ²du²³la²	ee1na2duu23la2
ᎡᏃᎵᎦ	e¹no²li¹ga	ee1noo2lii1ga
ᎡᏃᎵᎦ	e¹no²li¹ga²	ee1noo2lii1ga2
ᎡᏃᎵᎩ	e¹no²li¹gi	ee1noo2lii1gi
ᎡᏓᏚᎳ	e¹dạ²du²³la	ee1da2duu23la
ᎡᏓᏚᎳ	e¹dạ²du²³la²	ee1da2duu23la2
ᎡᏙᎵᎦ	e¹do²li¹ga	ee1doo2lii1ga
ᎡᏙᎵᎦ	e¹do²li¹ga²	ee1doo2lii1ga2
