ᎤᎭ	u¹ha	uu1ha
ᏓᎾᏓᏙᎵᎦ	da¹nạ²da²dohl²ga²	daa1naa2daa2dohl2ga2
ᏭᎾᏓᏚᎳ	wu¹nạ²dạ²du²³la	wuu1na2da2duu23la
ᎢᎩᏘᏗ	i¹gi¹tdi	ii1gii1tdi
ᎭᏓᏙᎵᎩ	hạ²da²dohl²gi	haa2daa2dohl2gi
ᏧᏃᎵᏍᏗ	ju¹no²hlị³sdi	juu1noo2hli3sdi
ᏥᎪᎲᎢ	ji²go²hv²³ɂi	jii2goo2hvv23-i
ᏕᎾᏓᏙᎵᎦ	de³nạ²da²dohl²ga²	dee3na2daa2dohl2ga2
ᎣᎩᏘᏗ	o¹gi¹tdi	oo1gii1tdi
ᏍᏓᏓᏙᎵᎩ	sdạ²da²dohl²gi	sdaa2daa2dohl2gi
ᏍᎩᏃᎵᎩ	sgị²no²li¹gi	sgi2noo2lii1gi
ᎦᏥᎪᎲᎢ	gạ²ji²go²hv²³ɂi	ga2jii2goo2hvv23-i
ᏕᏓᏓᏙᎵᎦ	de³dạ²da²dohl²ga²	dee3da2daa2dohl2ga2
ᎩᎾᏓᏙᎵᏍᏗ	gị²nạ²da²do²hlị³sdi	gi2na2daa2doo2hli3sdi
ᏬᎩᎾᏓᏚᎳ	wo¹gị²nạ²dạ²du²³la	woo1gi2na2da2duu23la
ᎢᎾᏓᏙᎵᎩ	i¹nạ²da²dohl²gi	ii1na2daa2dohl2gi
ᎢᏍᎩᏲᎵᎩ	i¹sgi²yo²li¹gi	ii1sgii2yoo2lii1gi
ᏙᏣᏓᏙᎵᎦ	do¹jạ²da²dohl²ga²	doo1ja2daa2dohl2ga2
ᏗᎦᏓᏙᎵᏍᏗ	dị²gạ²da²do²hlị³sdi	di2ga2daa2doo2hli3sdi
ᎢᏓᏓᏙᎵᎩ	i¹dạ²da²dohl²gi	ii1da2daa2dohl2gi
ᏙᏍᏓᏓᏙᎵᎦ	do¹sdạ²da²dohl²ga²	doo1sda2daa2dohl2ga2
ᎣᎩᏂᏘᏗ	o¹gị²ni¹tdi	oo1gi2nii1tdi
ᏩᎾᏓᏙᎵᎩ	wa¹nạ²da²dohl²gi	waa1naa2daa2dohl2gi
ᏬᏣᏓᏙᎵᎩ	wo¹jạ²da²dohl²gi	woo1ja2daa2dohl2gi
ᏗᏣᏓᏙᎵᎩ	dị²jạ²da²dohl²gi	di2ja2daa2dohl2gi
ᏫᏨᎪᏩᏔ	wi¹jv²go¹wah²ta	wii1jvv2goo1wah2ta
ᏬᏍᏓᏓᏙᎵᎩ	wo¹sdạ²da²dohl²gi	woo1sda2daa2dohl2gi
