ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᎢᏗᏍᏗᎦ|ì:di:sdǐ:ga||i¹di²sdi²³ga|Let all of us eat something rod shaped|ii1dii2sdii23ga
ᎡᏣᎪᏩᏘᏍᎪᎢ|è:jagowhtǐ:sgóɂi||e¹jạ²gowh²ti²³sgọ³ɂi|You are usually seen|ee1ja2gowh2tii23sgo3-i
ᏓᏉᎵᏨᎢ|dà:gwohljv̌:ɂi||da¹gwohl²jv²³ɂi|I understood things a while ago|daa1gwohl2jvv23-i
ᏕᏦᎵᏨᎢ|de:johljv̌:ɂi||de²johl²jv²³ɂi|You understood things a while ago|dee2johl2jvv23-i
ᎬᎩᎪᏩᏘᎭ|gv:gigowhtíha||gv²gị²gowh²tị³ha|They are seeing me|gvv2gi2gowh2ti3ha
ᎠᏉᎵᎦ|à:gwohlgā||a¹gwohl²ga²|He recently recognized me|aa1gwohl2ga2
ᎣᎩᎪᎲᎢ|ò:gi:go:hv̌:ɂi||o¹gi²go²hv²³ɂi|He saw them and me a while ago; They and I saw it a while ago; They and I were seen a while ago|oo1gii2goo2hvv23-i
ᎤᏂᎪᎲᎢ|ù:ni:go:hv̌:ɂi||u¹ni²go²hv²³ɂi|They saw him a while ago; They saw it a while ago|uu1nii2goo2hvv23-i
ᎩᏂᎪᎲᎢ|gini:go:hv̌:ɂi||gị²ni²go²hv²³ɂi|He saw you and me a while ago; You and I saw it a while ago|gi2nii2goo2hvv23-i
ᎣᎩᏂᎪᎲᎢ|ò:gini:go:hv̌:ɂi||o¹gị²ni²go²hv²³ɂi|He saw him and me a while ago; He and I saw it a while ago; He and I were seen a while ago|oo1gi2nii2goo2hvv23-i
ᏍᏗᏥ|sdi:ji||sdi²ji|Your two's mother|sdii2ji
ᎠᏂᎴᎪᎢ|à:ní:lè:gó:ɂi||a¹ni³le¹go³ɂi|They usually are climbing it|aa1nii3lee1goo3-i
ᏭᏲᏏᏌ|wù:yò:sǐ:sa||wu¹yo¹si²³sa|Let him be hungry|wuu1yoo1sii23sa
ᏕᎦᏚᎩᏍᎪᎢ|de:gaɂdǔ:gî:sgó:ɂi||de²gạɂ²du²³gi³²sgo³ɂi|I am usually drinking alcoholic drinks|dee2ga-2duu23gii32sgoo3-i
