ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᏧᏗᏔᎲᎢ|jù:di:tahv̌:ɂi||ju¹di²tạ²hv²³ɂi|You drank something a while ago|juu1dii2ta2hvv23-i
ᏧᎾᎵᎢ|jù:na:liɂi||ju¹na²lị²ɂi|Their friends|juu1naa2li2-i
ᎤᏂᏍᏗᎩᏍᏗ|ù:ni:sdǐ:gî:sdi||u¹ni²sdi²³gi³²sdi|For them to eat something rod shaped|uu1nii2sdii23gii32sdi
ᎣᏍᏗᏍᏗᎩᎠ|ò:sdì:sdǐ:gíɂa||o¹sdi¹sdi²³gị³ɂa|He and I are eating something rod shaped|oo1sdii1sdii23gi3-a
ᏍᏙᎵᏍᏗ|sdo:hlísdi||sdo²hlị³sdi|For you both to understand it; For him to recognize you both|sdoo2hli3sdi
ᎠᎪᏩᏘᏍᎪᎢ|agowhtǐ:sgóɂi||ạ²gowh²ti²³sgọ³ɂi|He is often seeing him; He is often seeing it|a2gowh2tii23sgo3-i
ᎯᎪᏩᏘᏍᎪᎢ|higowhtǐ:sgóɂi||hị²gowh²ti²³sgọ³ɂi|You are often seeing it|hi2gowh2tii23sgo3-i
ᏥᎪᏩᏘᏍᎪᎢ|jigowhtǐ:sgóɂi||jị²gowh²ti²³sgọ³ɂi|I am often seeing it|ji2gowh2tii23sgo3-i
ᎠᎩᏙᏓ|agido:da||ạ²gị²do²da|xHe, my father|a2gi2doo2da
ᎣᏥᎭᏗᏔ|ò:ja:dǐ:tā||o¹ja²di²³ta²|They and I recently drank something|oo1jaa2dii23ta2
ᎣᏍᏗᎭᏗᏔ|ò:sda:dǐ:tā||o¹sda²di²³ta²|He and I recently drank something|oo1sdaa2dii23ta2
ᎢᏦᎵᏍᏗ|ì:jo:hlísdi||i¹jo²hlị³sdi|For you all to understand it; For him to recognize you all|ii1joo2hli3sdi
ᎩᏂᎪᏩᏛᏗ|gini:gowhtv́hdi||gị²ni²gowh²tvh³di|For him to see you and me; For you and me to see it|gi2nii2gowh2tvh3di
ᎣᎩᏂᏙᏓ|o:gini:do:da||o²gị²ni²do²da|His and my father|oo2gi2nii2doo2da
ᏙᏥᏔᏕᎬᎦ|dò:ji:tade:gv̀:gā||do¹ji²tạ²de²gv¹ga²|They and I were recently thirsty|doo1jii2ta2dee2gvv1ga2
ᏙᏍᏗᏔᏕᎬᎦ|dò:sdi:tade:gv̀:gā||do¹sdi²tạ²de²gv¹ga²|He and I were recently thirsty|doo1sdii2ta2dee2gvv1ga2
ᎤᏄᏗᏔᏍᏗ|ù:na:di:tasdi||u¹na²di²tạ²sdi|For them to drink something|uu1naa2dii2ta2sdi
ᎩᎾᎵᎢ|gina:liɂi||gị²na²lị²ɂi|You one and I, friends; You one, my friend|gi2naa2li2-i
ᎤᏄᏗᏔᎲᎢ|ù:nù:di:tahv̌:ɂi||u¹nu¹di²tạ²hv²³ɂi|They drank something a while ago|uu1nuu1dii2ta2hvv23-i
ᏣᎧᎮᏍᏗ|jakahé:sdi||jạ²kạ²he³sdi|You will be having something alive|ja2ka2hee3sdi
ᎩᏂᏍᏗᎩᏍᏗ|gini:sdǐ:gî:sdi||gị²ni²sdi²³gi³²sdi|For you and me to eat something rod shaped|gi2nii2sdii23gii32sdi
ᏍᎩᏂᏙᏓ|sgini:do:da||sgị²ni²do²da|You one, his and my father|sgi2nii2doo2da
ᎤᏔᏕᎦᏅᎢ|ù:tade:gâ:nv̌:ɂi||u¹tạ²de²ga³²nv²³ɂi|He was thirsty a while ago|uu1ta2dee2gaa32nvv23-i
ᏚᏂᏲᏏᏍᎪᎢ|dù:ni:yó:si:sgó:ɂi||du¹ni²yo³si²sgo³ɂi|They usually are hungry|duu1nii2yoo3sii2sgoo3-i
ᏬᏥᎭᏗᏔ|wò:ja:dǐ:ta||wo¹ja²di²³ta|Let them and me drink something|woo1jaa2dii23ta
ᏬᏍᏗᎭᏗᏔ|wò:sda:dǐ:ta||wo¹sda²di²³ta|Let him and me drink something|woo1sdaa2dii23ta
ᏣᎪᏩᏛᏗ|jagowhtv́hdi||jạ²gowh²tvh³di|For you to see it; For him to see you|ja2gowh2tvh3di
ᏗᎦᎵᎢ|diga:liɂi||dị²ga²lị²ɂi|You all and I, our friends|di2gaa2li2-i
ᏚᏂᏲᏏᏍᎬᎢ|dù:ni:yó:si:sgv̌:ɂi||du¹ni²yo³si²sgv²³ɂi|They were hungry a while ago|duu1nii2yoo3sii2sgvv23-i
ᏕᏥᏲᏏᏌ|dé:ji:yò:sǐ:sā||de³ji²yo¹si²³sa²|You all were recently hungry|dee3jii2yoo1sii23sa2
ᎠᏊᏗᏔᏍᏗ|à:gwa:di:tasdi||a¹gwa²di²tạ²sdi|For me to drink something|aa1gwaa2dii2ta2sdi
ᏣᎾᎡᏍᏗ|janáé:sdi||jạ²nạ³e³sdi|You will be having something flexible|ja2na3ee3sdi
ᎩᏄᏗᏔᏍᏗ|gina:di:tasdi||gị²na²di²tạ²sdi|For you and me to drink something|gi2naa2dii2ta2sdi
ꭴꮹᏟᏐᏗ|ù:wà:hlǐ:sóhdi||u¹wa¹hli²³soh³di|For him to gather something|uu1waa1hlii23soh3di
ᎣᎩᎪᏩᏛᏗ|ò:gi:gowhtv́hdi||o¹gi²gowh²tvh³di|For him to see them and me; For them and me to see it; For them and me to be seen|oo1gii2gowh2tvh3di
ᎣᎩᏂᎪᏩᏛᏗ|ò:gini:gowhtv́hdi||o¹gị²ni²gowh²tvh³di|For him to see him and me; For him and me to see it; For him and me to be seen|oo1gi2nii2gowh2tvh3di
ᏗᏣᎵᎢ|dija:liɂi||dị²ja²lị²ɂi|You all, your friends|di2jaa2li2-i
ᏚᏂᏔᏕᎩᎠ|dù:ni:tade:gí:ɂa||du¹ni²tạ²de²gi³ɂa|They are thirsty|duu1nii2ta2dee2gii3-a
ᏗᏥᏲᏏᏌ|dì:ji:yò:sǐ:sa||di¹ji²yo¹si²³sa|Let you all be hungry|dii1jii2yoo1sii23sa
ᎠᏊᏗᏔᎲᎢ|à:gwù:di:tahv̌:ɂi||a¹gwu¹di²tạ²hv²³ɂi|I drank something a while ago|aa1gwuu1dii2ta2hvv23-i
ᎩᏄᏗᏔᎲᎢ|ginù:di:tahv̌:ɂi||gị²nu¹di²tạ²hv²³ɂi|You and I drank something a while ago|gi2nuu1dii2ta2hvv23-i
ᎣᏣᎦᏙᏍᏙᏗ|ò:jagà:tǒ:sdóhdi||o¹jạ²ga¹to²³sdoh³di|For them and me to look at him|oo1ja2gaa1too23sdoh3di
ᎣᏍᏓᎦᏙᏍᏙᏗ|ò:sdagà:tǒ:sdóhdi||o¹sdạ²ga¹to²³sdoh³di|For him and me to look at him|oo1sda2gaa1too23sdoh3di
ᏗᏆᎵᎢ|dìgwa:liɂi||dị¹gwa²lị²ɂi|My friends|di1gwaa2li2-i
ᏧᏂᏲᏏᏐᏗ|jù:ni:yò:sǐ:sóhdi||ju¹ni²yo¹si²³soh³di|For them to be hungry|juu1nii2yoo1sii23soh3di
ᎣᎩᏍᏗᎩᏍᏗ|ò:gi:sdǐ:gî:sdi||o¹gi²sdi²³gi³²sdi|For them and me to eat something rod shaped|oo1gii2sdii23gii32sdi
ᎣᎩᏂᏍᏗᎩᏍᏗ|ò:gini:sdǐ:gî:sdi||o¹gị²ni²sdi²³gi³²sdi|For him and me to eat something rod shaped|oo1gi2nii2sdii23gii32sdi
ᎢᎩᎪᏩᏛᏗ|ì:gi:gowhtv́hdi||i¹gi²gowh²tvh³di|For him to see all of us; For all of us to see it|ii1gii2gowh2tvh3di
ᏗᏣᎵᎢ|dijaliɂi||dị²jạ²lị²ɂi|You one, your friends|di2ja2li2-i
ᏧᏂᏔᏕᎪᏗ|jù:ni:tadě:gô:di||ju¹ni²tạ²de²³go³²di|For them to be thirsty|juu1nii2ta2dee23goo32di
ᎤᏭᏗᏔᎲᎢ|ù:wù:di:tahv̌:ɂi||u¹wu¹di²tạ²hv²³ɂi|He drank something a while ago|uu1wuu1dii2ta2hvv23-i
ᎣᎩᎾᎵᎢ|ò:gina:liɂi||o¹gị²na²lị²ɂi|He and I, friends; He, my friend|oo1gi2naa2li2-i
ᏗᎩᏂᏲᏏᏌ|digini:yò:sǐ:sa||dị²gị²ni²yo¹si²³sa|Let you and me be hungry|di2gi2nii2yoo1sii23sa
ᎣᎫᏗᏔᏍᏗ|ò:ga:di:tasdi||o¹ga²di²tạ²sdi|For them and me to drink something|oo1gaa2dii2ta2sdi
ᎢᎩᏍᏗᎩᏍᏗ|ì:gi:sdǐ:gî:sdi||i¹gi²sdi²³gi³²sdi|For all of us to eat something rod shaped|ii1gii2sdii23gii32sdi
ᎣᎩᏄᏗᏔᏍᏗ|ò:gina:di:tasdi||o¹gị²na²di²tạ²sdi|For him and me to drink something|oo1gi2naa2dii2ta2sdi
ᏗᏍᏓᎵᎢ|disda:liɂi||dị²sda²lị²ɂi|You two, your friends|di2sdaa2li2-i
ᏚᎾᏅᏖᏍᏗ|dù:nanhté:sdi||du¹nạ²nhte³sdi|They will be knowing something; They will be knowing things|duu1na2nhtee3sdi
ᎣᎫᏗᏔᎲᎢ|ò:gù:di:tahv̌:ɂi||o¹gu¹di²tạ²hv²³ɂi|They and I drank something a while ago|oo1guu1dii2ta2hvv23-i
ᏣᏍᏗᎩᏍᏗ|tssdǐ:gî:sdi||tssdi²³gi³²sdi|For you to eat something rod shaped|tssdii23gii32sdi
ᎣᎩᏄᏗᏔᎲᎢ|ò:ginù:di:tahv̌:ɂi||o¹gị²nu¹di²tạ²hv²³ɂi|He and I drank something a while ago|oo1gi2nuu1dii2ta2hvv23-i
ᏍᏗᎾᎣᎢ|sdi:náó:ɂi||sdi²nạ³o³ɂi|You both usually have something flexible|sdii2na3oo3-i
ᏦᎩᎾᎵᎢ|jò:gina:liɂi||jo¹gị²na²lị²ɂi|He and I, our friends|joo1gi2naa2li2-i
ᏣᏔᏕᎪᏗ|tstadě:gô:di||tstạ²de²³go³²di|For you to be thirsty|tsta2dee23goo32di
ᏙᎩᏲᏏᏍᎪᎢ|dò:gi:yó:si:sgó:ɂi||do¹gi²yo³si²sgo³ɂi|They and I usually are hungry|doo1gii2yoo3sii2sgoo3-i
ᎢᎫᏗᏔᏍᏗ|ì:ga:di:tasdi||i¹ga²di²tạ²sdi|For all of us to drink something|ii1gaa2dii2ta2sdi
ᎠᎩᎪᏩᏛᏗ|à:gigowhtv́hdi||a¹gị²gowh²tvh³di|For me to see it; For him to see me|aa1gi2gowh2tvh3di
ᏗᎩᎾᎵᎢ|digina:liɂi||dị²gị²na²lị²ɂi|You one and I, our friends|di2gi2naa2li2-i
ᏣᏔᏕᎩᎠ|tstade:gí:ɂa||tstạ²de²gi³ɂa|You are thirsty|tsta2dee2gii3-a
ᏙᎩᏲᏏᏍᎬᎢ|dò:gi:yó:si:sgv̌:ɂi||do¹gi²yo³si²sgv²³ɂi|They and I were hungry a while ago|doo1gii2yoo3sii2sgvv23-i
ᎢᎫᏗᏔᎲᎢ|ì:gù:di:tahv̌:ɂi||i¹gu¹di²tạ²hv²³ɂi|All of us drank something a while ago|ii1guu1dii2ta2hvv23-i
ᏙᎩᏔᏕᎩᎠ|dò:gi:tade:gí:ɂa||do¹gi²tạ²de²gi³ɂa|They and I are thirsty|doo1gii2ta2dee2gii3-a
ᏙᎩᏂᏔᏕᎩᎠ|dò:gini:tade:gí:ɂa||do¹gị²ni²tạ²de²gi³ɂa|He and I are thirsty|doo1gi2nii2ta2dee2gii3-a
ᏦᎩᏲᏏᏐᏗ|jò:gi:yò:sǐ:sóhdi||jo¹gi²yo¹si²³soh³di|For them and me to be hungry|joo1gii2yoo1sii23soh3di
ᎠᎩᏍᏗᎩᏍᏗ|à:ksdǐ:gî:sdi||a¹ksdi²³gi³²sdi|For me to eat something rod shaped|aa1ksdii23gii32sdi
ᏍᏗᏍᏗᎬᎢ|sdì:sdí:gv̌:ɂi||sdi¹sdi³gv²³ɂi|You both ate something rod shaped a while ago|sdii1sdii3gvv23-i
ᏦᎩᏔᏕᎪᏗ|jò:gi:tadě:gô:di||jo¹gi²tạ²de²³go³²di|For them and me to be thirsty|joo1gii2ta2dee23goo32di
ᎠᎩᏔᏕᎪᏗ|à:ktadě:gô:di||a¹ktạ²de²³go³²di|For me to be thirsty|aa1kta2dee23goo32di
ᏕᎩᏔᏕᎩᎠ|dé:gi:tade:gí:ɂa||de³gi²tạ²de²gi³ɂa|All of us are thirsty|dee3gii2ta2dee2gii3-a
ᎣᏣᎦᏙᏍᏔᏅᎢ|ò:jà:gà:tǒ:stánv̌:ɂi||o¹ja¹ga¹to²³stạ³nv²³ɂi|They and I looked at him a while ago|oo1jaa1gaa1too23sta3nvv23-i
ᎣᏍᏓᎦᏙᏍᏔᏅᎢ|ò:sdà:gà:tǒ:stánv̌:ɂi||o¹sda¹ga¹to²³stạ³nv²³ɂi|He and I looked at him a while ago|oo1sdaa1gaa1too23sta3nvv23-i
ᎠᎩᏔᏕᎩᎠ|à:ktade:gí:ɂa||a¹ktạ²de²gi³ɂa|I am thirsty|aa1kta2dee2gii3-a
ᎢᏥᎾᎣᎢ|ì:ji:náó:ɂi||i¹ji²nạ³o³ɂi|You all usually have something flexible|ii1jii2na3oo3-i
ᏗᎩᏔᏕᎪᏗ|dì:gi:tadě:gô:di||di¹gi²tạ²de²³go³²di|For all of us to be thirsty|dii1gii2ta2dee23goo32di
ᏕᎩᏂᏔᏕᎩᎠ|de:gini:tade:gí:ɂa||de²gị²ni²tạ²de²gi³ɂa|You and I are thirsty|dee2gi2nii2ta2dee2gii3-a
ᏫᏦᏥᏔᏕᎬᎦ|wijò:ji:tade:gv̀:ga||wị²jo¹ji²tạ²de²gv¹ga|Let them and me be thirsty|wi2joo1jii2ta2dee2gvv1ga
ᏫᏦᏍᏗᏔᏕᎬᎦ|wijò:sdi:tade:gv̀:ga||wị²jo¹sdi²tạ²de²gv¹ga|Let him and me be thirsty|wi2joo1sdii2ta2dee2gvv1ga
ᏍᏙᎵᏨᎢ|sdohljv̌:ɂi||sdohl²jv²³ɂi|You both understood it a while ago; He recognized you both a while ago|sdohl2jvv23-i
ᏕᏍᏗᏲᏏᏌ|de:sdi:yò:sǐ:sā||de²sdi²yo¹si²³sa²|You both were recently hungry|dee2sdii2yoo1sii23sa2
ᏗᏍᏗᏁᏗ|disdi:nehdi||dị²sdi²neh²di|For you both to have a liquid|di2sdii2neh2di
ᏙᎩᏂᏔᏕᎦᏅᎢ|dò:gini:tade:gâ:nv̌:ɂi||do¹gị²ni²tạ²de²ga³²nv²³ɂi|He and I were thirsty a while ago|doo1gi2nii2ta2dee2gaa32nvv23-i
ᏕᎩᏔᏕᎦᏅᎢ|dé:gi:tade:gâ:nv̌:ɂi||de³gi²tạ²de²ga³²nv²³ɂi|All of us were thirsty a while ago|dee3gii2ta2dee2gaa32nvv23-i
ᏕᎩᏂᏔᏕᎦᏅᎢ|de:gini:tade:gâ:nv̌:ɂi||de²gị²ni²tạ²de²ga³²nv²³ɂi|You and I were thirsty a while ago|dee2gi2nii2ta2dee2gaa32nvv23-i
ᎢᏦᎵᏨᎢ|ì:johljv̌:ɂi||i¹johl²jv²³ɂi|You all understood it a while ago; He recognized you all a while ago|ii1johl2jvv23-i
ᎠᎩᏔᏕᎩᏍᎪᎢ|à:ktade:gí:sgó:ɂi||a¹ktạ²de²gi³sgo³ɂi|I am usually thirsty|aa1kta2dee2gii3sgoo3-i
ᎠᎩᎪᏩᏘᏍᎪᎢ|à:gigowhtǐ:sgóɂi||a¹gị²gowh²ti²³sgọ³ɂi|He is often seeing me|aa1gi2gowh2tii23sgo3-i
ᏍᏗᏍᏗᎩᏍᏗ|sdi:sdǐ:gî:sdi||sdi²sdi²³gi³²sdi|For you both to eat something rod shaped|sdii2sdii23gii32sdi
ᏍᏗᎭᏗᏔ|sda:dǐ:ta||sda²di²³ta|Let you both drink something|sdaa2dii23ta
ᎢᏥᎪᏩᏛᏗ|ì:ji:gowhtv́hdi||i¹ji²gowh²tvh³di|For him to see you all; For you all to see it|ii1jii2gowh2tvh3di
ᏍᏗᎭᏗᏔ|sda:dǐ:tā||sda²di²³ta²|You both recently drank something|sdaa2dii23ta2
ᏍᏚᏗᏔᏍᏗ|sda:di:tasdi||sda²di²tạ²sdi|For you both to drink something|sdaa2dii2ta2sdi
ᎢᏥᏍᏗᎩᏍᏗ|ì:ji:sdǐ:gî:sdi||i¹ji²sdi²³gi³²sdi|For you all to eat something rod shaped|ii1jii2sdii23gii32sdi
ᏍᏚᏗᏔᎲᎢ|sdù:di:tahv̌:ɂi||sdu¹di²tạ²hv²³ɂi|You both drank something a while ago|sduu1dii2ta2hvv23-i
ᏕᏍᏗᏲᏏᎭ|de:sdi:yó:siha||de²sdi²yo³sị²ha|You both are hungry|dee2sdii2yoo3si2ha
ᎢᏥᎭᏗᏔ|ì:ja:dǐ:ta||i¹ja²di²³ta|Let you all drink something|ii1jaa2dii23ta
ᎢᏥᎭᏗᏔ|ì:ja:dǐ:tā||i¹ja²di²³ta²|You all recently drank something|ii1jaa2dii23ta2
ᎢᏧᏗᏔᏍᏗ|ì:ja:di:tasdi||i¹ja²di²tạ²sdi|For you all to drink something|ii1jaa2dii2ta2sdi
ᎢᏧᏗᏔᎲᎢ|ì:jù:di:tahv̌:ɂi||i¹ju¹di²tạ²hv²³ɂi|You all drank something a while ago|ii1juu1dii2ta2hvv23-i
ᏕᏍᏗᏔᏕᎩᎠ|de:sdi:tade:gí:ɂa||de²sdi²tạ²de²gi³ɂa|You both are thirsty|dee2sdii2ta2dee2gii3-a
ᏕᏍᏗᏔᏕᎬᎦ|de:sdi:tade:gv̀:gā||de²sdi²tạ²de²gv¹ga²|You both were recently thirsty|dee2sdii2ta2dee2gvv1ga2
ᏕᏥᏔᏕᎩᎠ|dé:tstade:gí:ɂa||de³tstạ²de²gi³ɂa|You all are thirsty|dee3tsta2dee2gii3-a
ᏕᏥᏔᏕᎬᎦ|dé:tstade:gv̀:gā||de³tstạ²de²gv¹ga²|You all were recently thirsty|dee3tsta2dee2gvv1ga2
ᏗᏥᏔᏕᎪᏗ|dì:tstadě:gô:di||di¹tstạ²de²³go³²di|For you all to be thirsty|dii1tsta2dee23goo32di
ᏗᏥᏔᏕᎬᎦ|dì:tstade:gv̀:ga||di¹tstạ²de²gv¹ga|Let you all be thirsty|dii1tsta2dee2gvv1ga
ᏕᏍᏗᏔᏕᎦᏅᎢ|de:sdi:tade:gâ:nv̌:ɂi||de²sdi²tạ²de²ga³²nv²³ɂi|You both were thirsty a while ago|dee2sdii2ta2dee2gaa32nvv23-i
ᏗᏍᏗᏔᏕᎬᎦ|disdi:tade:gv̀:ga||dị²sdi²tạ²de²gv¹ga|Let you both be thirsty|di2sdii2ta2dee2gvv1ga
ᏕᏍᏗᏔᏕᎩᏍᎪᎢ|de:sdi:tade:gí:sgó:ɂi||de²sdi²tạ²de²gi³sgo³ɂi|You both are usually thirsty|dee2sdii2ta2dee2gii3sgoo3-i
