	#MULTI-FORMS								
vta, ref, de	Ꮥ³Ꮎ̣²Ꮣ²[Ꮣ͓]-	De³nạ²da²[d]-	You one and I, we	each other	a	Ꮧ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-	Dị²nạ²da²[d]-		
vta, ref, de	Ꮥ³Ꮣ̣²Ꮣ²[Ꮣ͓]-	De³dạ²da²[d]-	You all and I, we	each other	a	Ꮧ̣²Ꮣ̣²Ꮣ²[Ꮣ͓]-	Dị²dạ²da²[d]-		
vta, ref, de	Ꮩ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-	Do¹sdạ²da²[d]-	He and I, we	each other	a	Ꮶ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-	jo¹sdạ²da²[d]		
vta, ref, de	Ꮩ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-	Do¹jạ²da²[d]-	They and I, we	each other	a	Ꮶ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-	jo¹jạ²da²[d]-		
vta, ref, de	Ꮥ²ᏍᏓ̣²Ꮣ²[Ꮣ͓]-	De²sdạ²da²[d]-	You two	each other		Ꮧ̣²ᏍᏓ̣²Ꮣ²[Ꮣ͓]-	Dị²sdạ²da²[d]-		
vta, ref, de	Ꮥ³Ꮳ̣²Ꮣ²[Ꮣ͓]-	De³jạ²da²[d]-	You all	each other		Ꮧ̣²Ꮳ̣²Ꮣ²[Ꮣ͓]-	Dị²jạ²da²[d]-		
vta, ref, de	Ꮣ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-	Da¹nạ²da²[d]-	They	each other	a	Ꮧ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-	Dị²nạda²[d]-		
vta, ref, de	Ꮥ²Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-	De²gị²nạ²da²[d]-	You one and I, we	each other	b	Ꮧ̣²Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-	Dị²gị²nạ²da²[d]-		
vta, ref, de	Ꮥ³Ꭶ̣²Ꮣ²[Ꮣ͓]-	De³gạ²da²[d]-	You all and I, we	each other	b	Ꮧ̣²Ꭶ̣²Ꮣ²[Ꮣ͓]-	Dị²gạ²da²[d]-		
vta, ref, de	Ꮩ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-	Do¹gị²nạ²da²[d]-	He and I, we	each other	b	Ꮶ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-	jo¹gị²nạ²da²[d]-		
vta, ref, de	Ꮩ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-	Do¹gạ²da²[d]-	They and I, we	each other	b	Ꮶ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-	jo¹gạ²da²[d]-		
vta, ref, de	Ꮪ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-	Du¹nạ²da²[d]-	They	each other	b	Ꮷ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-	ju¹nạ²da²[d]-		
